"Nr OKW";"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Robert BIEDROŃ";"Krzysztof BOSAK";"Andrzej Sebastian DUDA";"Szymon Franciszek HOŁOWNIA";"Marek JAKUBIAK";"Władysław Marcin KOSINIAK-KAMYSZ";"Mirosław Mariusz PIOTROWSKI";"Paweł Jan TANAJNO";"Rafał Kazimierz TRZASKOWSKI";"Waldemar Włodzimierz WITKOWSKI";"Stanisław Józef ŻÓŁTEK";"Liczba obwodów"
3;"020903";"gmina wiejska";"gm. Krotoszyce";"legnicki";"dolnośląskie";2334;2563;727;1607;7;8;0;0;0;0;0;0;0;1607;0;0;1607;5;3;2;0;1602;31;140;877;164;1;26;1;0;360;1;1;3
3;"020904";"gmina wiejska";"gm. Kunice";"legnicki";"dolnośląskie";4861;5351;1246;3615;1;32;25;17;0;0;0;0;17;3632;17;2;3630;13;4;9;0;3617;74;200;1423;555;6;81;3;3;1259;3;10;5
3;"020905";"gmina wiejska";"gm. Legnickie Pole";"legnicki";"dolnośląskie";3536;3795;1038;2498;4;4;7;7;0;0;0;0;7;2505;7;0;2505;13;2;11;0;2492;43;171;1297;303;4;58;3;4;602;3;4;6
3;"020906";"gmina wiejska";"gm. Miłkowice";"legnicki";"dolnośląskie";4786;5212;1454;3332;3;17;24;24;5;0;0;0;19;3350;19;0;3350;13;4;9;0;3337;72;208;1555;401;8;92;0;5;982;5;9;8
3;"020907";"gmina miejsko-wiejska";"gm. Prochowice";"legnicki";"dolnośląskie";5474;5782;2112;3362;1;18;19;14;0;0;0;0;14;3376;14;0;3376;14;6;8;0;3362;48;212;1692;333;5;78;4;8;971;4;7;6
3;"020908";"gmina wiejska";"gm. Ruja";"legnicki";"dolnośląskie";1834;2024;782;1052;0;4;18;18;0;0;0;0;18;1070;18;0;1070;3;0;3;0;1067;15;68;653;79;0;38;2;1;208;3;0;3
2;"021001";"gmina miejska";"m. Lubań";"lubański";"dolnośląskie";15084;16214;5364;9720;3;70;71;70;4;0;0;0;66;9786;66;0;9786;30;18;12;0;9756;235;460;3522;1715;13;147;10;15;3611;8;20;10
2;"021002";"gmina miejska";"m. Świeradów-Zdrój";"lubański";"dolnośląskie";2987;3436;950;2037;2;182;32;31;3;0;0;0;28;2065;28;0;2065;3;0;3;0;2062;58;98;726;281;3;35;2;2;847;7;3;5
2;"021003";"gmina miejsko-wiejska";"gm. Leśna";"lubański";"dolnośląskie";7122;7764;2856;4266;2;46;36;35;4;1;0;0;30;4296;30;1;4295;16;3;13;0;4279;112;231;1883;647;8;87;2;7;1296;3;3;8
2;"021004";"gmina wiejska";"gm. Lubań";"lubański";"dolnośląskie";4717;5127;1713;3004;1;13;7;7;0;0;0;0;7;3011;7;0;3011;14;7;7;0;2997;36;155;1289;655;5;65;1;6;780;2;3;8
2;"021005";"gmina miejsko-wiejska";"gm. Olszyna";"lubański";"dolnośląskie";4711;5047;1919;2792;4;12;22;22;3;0;0;0;19;2811;19;0;2811;18;7;11;0;2793;35;153;1120;595;3;55;1;2;826;3;0;4
2;"021006";"gmina wiejska";"gm. Platerówka";"lubański";"dolnośląskie";1187;1265;382;805;0;4;2;2;0;0;0;0;2;807;2;1;806;7;2;5;0;799;12;64;413;96;0;25;0;7;181;0;1;2
2;"021007";"gmina wiejska";"gm. Siekierczyn";"lubański";"dolnośląskie";3678;3950;1322;2356;0;12;21;21;0;0;0;0;21;2377;21;0;2377;9;1;8;0;2368;46;117;1025;408;3;57;1;4;700;3;4;4
3;"021101";"gmina miejska";"m. Lubin";"lubiński";"dolnośląskie";51377;54821;16434;34943;16;175;237;223;2;0;0;0;221;35161;221;1;35160;91;45;46;0;35069;828;2526;16206;4084;62;560;37;57;10601;29;79;49
3;"021102";"gmina wiejska";"gm. Lubin";"lubiński";"dolnośląskie";11267;12331;3001;8270;3;29;15;13;0;0;0;0;13;8283;13;1;8282;17;4;13;0;8265;209;634;3717;1118;19;148;8;10;2368;12;22;11
3;"021103";"gmina wiejska";"gm. Rudna";"lubiński";"dolnośląskie";5614;6043;1999;3615;4;13;48;34;3;0;0;0;31;3645;31;0;3645;14;9;5;0;3631;69;245;2038;411;16;72;3;4;757;4;12;7
3;"021104";"gmina miejsko-wiejska";"gm. Ścinawa";"lubiński";"dolnośląskie";7112;7645;2628;4484;3;19;44;42;5;0;0;0;37;4521;37;0;4521;17;6;11;0;4504;76;294;2745;397;5;74;8;1;890;4;10;8
